name,description,type
"Tshwane is a culturalcity with grandarchitecture, a plethoraof museums – bothhistorical and modern.","Tshwane is a culturalcity with grandarchitecture, a plethoraof museums – bothhistorical and modern.",attraction
"Tshwane is a culturalcity with grandarchitecture, a plethoraof museums – bothhistorical and modern.","Tshwane is a culturalcity with grandarchitecture, a plethoraof museums – bothhistorical and modern.",attraction
